2021/09/24 16:38:15.436 [1;34m[I][0m [npc.go:225]  the version of client is 0.26.4, the core version of client is 0.26.0
2021/09/24 16:38:15.664 [1;34m[I][0m [client.go:67]  Successful connection with server mb.nps.zwyxxd.press:8024
2021/09/24 16:38:17.163 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:9980 error dial tcp: address tcp/9980: unknown port
2021/09/24 16:38:21.555 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:9980, remote address:172.17.0.1:55742
2021/09/24 18:02:51.394 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
2021/09/24 18:08:20.960 [1;44m[D][0m [client.go:211]  new tcp connection with the goal of 192.168.1.8:5678, remote address:172.17.0.1:60710
2021/09/24 18:08:20.992 [1;33m[W][0m [client.go:208]  connect to 10.66.5.251:5678 error dial tcp: address tcp/5678: unknown port
2021/09/24 19:23:12 mux: read session unpack from connection err read tcp 10.66.16.6:51150->220.162.71.4:8024: read: operation timed out
2021/09/24 19:23:12 close mux
2021/09/24 19:23:12.831 [1;33m[W][0m [client.go:160]  accpet error,the conn has closed
2021/09/24 19:23:12.831 [1;31m[E][0m [client.go:87]  Accept server data error read tcp 10.66.16.6:51149->220.162.71.4:8024: use of closed network connection, end this service
2021/09/24 19:23:12.831 [1;34m[I][0m [npc.go:230]  It will be reconnected in five seconds
2021/09/24 19:23:42.853 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55970->144.144.144.144:53: write: no buffer space available
2021/09/24 19:23:47.855 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59986->144.144.144.144:53: write: no buffer space available
2021/09/24 19:23:52.857 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59640->144.144.144.144:53: write: no buffer space available
2021/09/24 19:23:57.862 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51452->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:02.868 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62400->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:07.872 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65309->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:12.877 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64461->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:17.879 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52484->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:22.886 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62661->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:27.889 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55386->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:32.894 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64195->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:37.898 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63085->144.144.144.144:53: write: no buffer space available
